Element,Atomic_Mass
Ac,227.0277
Ag,107.8682
Al,26.9815
Am,243.0614
Ar,39.948
As,74.9215
At,209.9871
Au,196.9665
B,10.811
Ba,137.327
Be,9.0121
Bh,274.1436
Bi,208.9804
Bk,247.0703
Br,79.904
C,12.0107
Ca,40.078
Cd,112.414
Ce,140.116
Cf,251.0796
Cl,35.453
Cm,247.0704
Cn,285
Co,58.9331
Cr,51.9961
Cs,132.9054
Cu,63.546
Db,268.1257
Ds,281
Dy,162.5
Er,167.259
Es,252.083
Eu,151.964
F,18.9984
Fe,55.845
Fl,289
Fm,257.0591
Fr,223.0197
Ga,69.723
Gd,157.25
Ge,72.64
H,1.0079
He,4.0026
Hf,178.49
Hg,200.59
Ho,164.9303
Hs,277.1519
I,126.9044
In,114.818
Ir,192.217
K,39.0983
Kr,83.798
La,138.9054
Li,6.941
Lr,262.1097
Lu,174.9668
Lv,292
Mc,288
Md,258.0984
Mg,24.305
Mn,54.938
Mo,95.95
Mt,278
N,14.0067
Na,22.9897
Nb,92.9063
Nd,144.242
Ne,20.1797
Nh,284
Ni,58.6934
No,259.101
Np,237.0482
O,15.9994
Og,294
Os,190.23
P,30.9737
Pa,231.0358
Pb,207.2
Pd,106.42
Pm,144.9
Po,208.9824
Pr,140.9076
Pt,195.084
Pu,239.0642
Ra,226.0245
Rb,85.4678
Re,186.207
Rf,267.1218
Rg,282
Rh,102.9055
Rn,222.0176
Ru,101.07
S,32.065
Sb,121.76
Sc,44.9559
Se,78.971
Sg,269.1286
Si,28.0855
Sm,150.36
Sn,118.71
Sr,87.62
Ta,180.9478
Tb,158.9253
Tc,98.9072
Te,127.6
Th,232.0377
Ti,47.867
Tl,204.3833
Tm,168.9342
Ts,294
U,238.0289
V,50.9415
W,180.84
Xe,131.293
Y,88.9058
Yb,173.054
Zn,65.38
Zr,91.224